dataset,seed,cell,patient_idx,success,abstain_stage,latency_sec,n_candidates_tried,path_len,decoded_cvr_hop,decoded_cvr_endpoint,kde,effort,terminal_risk
uci,1,egd_riemannian,33,False,risk_check,0.004290292039513588,20.0,,,,,,
uci,1,egd_riemannian,39,False,risk_check,0.004220832954160869,20.0,,,,,,
uci,1,egd_riemannian,40,False,risk_check,0.004274666076526046,20.0,,,,,,
uci,1,egd_riemannian,42,False,risk_check,0.004240541020408273,20.0,,,,,,
uci,1,egd_riemannian,45,False,risk_check,0.0042432500049471855,20.0,,,,,,
uci,1,egd_riemannian,52,False,risk_check,0.004131666966713965,20.0,,,,,,
uci,1,egd_riemannian,54,False,risk_check,0.004295667051337659,20.0,,,,,,
uci,1,egd_riemannian,55,False,risk_check,0.004148249980062246,20.0,,,,,,
uci,1,egd_riemannian,56,False,risk_check,0.0042964169988408685,20.0,,,,,,
uci,1,egd_riemannian,59,False,risk_check,0.004137374926358461,20.0,,,,,,
uci,1,egd_euclidean,6,False,risk_check,0.0041092910105362535,20.0,,,,,,
uci,1,egd_euclidean,10,False,risk_check,0.004090250004082918,20.0,,,,,,
uci,1,egd_euclidean,15,False,risk_check,0.0042290829587727785,20.0,,,,,,
uci,1,egd_euclidean,16,False,risk_check,0.004196958965621889,20.0,,,,,,
uci,1,egd_euclidean,19,False,risk_check,0.004139458993449807,20.0,,,,,,
uci,1,egd_euclidean,21,False,risk_check,0.004094291012734175,20.0,,,,,,
uci,1,egd_euclidean,22,False,risk_check,0.0041617079405114055,20.0,,,,,,
uci,1,egd_euclidean,26,False,risk_check,0.0041483750101178885,20.0,,,,,,
uci,1,egd_euclidean,29,False,risk_check,0.0041146669536828995,20.0,,,,,,
uci,1,egd_euclidean,32,False,risk_check,0.004111249931156635,20.0,,,,,,
uci,1,egd_euclidean,33,False,risk_check,0.004056542064063251,20.0,,,,,,
uci,1,egd_euclidean,39,False,risk_check,0.004134208080358803,20.0,,,,,,
uci,1,egd_euclidean,40,False,risk_check,0.004062000080011785,20.0,,,,,,
uci,1,egd_euclidean,42,False,risk_check,0.0041379580507054925,20.0,,,,,,
uci,1,egd_euclidean,45,False,risk_check,0.004207832971587777,20.0,,,,,,
uci,1,egd_euclidean,52,False,risk_check,0.004073916003108025,20.0,,,,,,
uci,1,egd_euclidean,54,False,risk_check,0.0041198330000042915,20.0,,,,,,
uci,1,egd_euclidean,55,False,risk_check,0.004091624985449016,20.0,,,,,,
uci,1,egd_euclidean,56,False,risk_check,0.004253291990607977,20.0,,,,,,
uci,1,egd_euclidean,59,False,risk_check,0.0041454589227214456,20.0,,,,,,
uci,1,old_latent_pruning,6,True,,0.0025516670430079103,,2.0,True,True,-7.845714502591669,0.5555034279823303,
uci,1,old_latent_pruning,10,True,,0.002268332988023758,,2.0,False,False,-7.978683044555988,0.025928214192390442,
uci,1,old_latent_pruning,15,True,,0.0022375420667231083,,2.0,True,True,-7.820071979118903,0.11541662365198135,
uci,1,old_latent_pruning,16,False,,0.0020963329588994384,,,,,,,
uci,1,old_latent_pruning,19,True,,0.002152334083802998,,2.0,True,True,-7.731954800912126,0.18769365549087524,
uci,1,old_latent_pruning,21,True,,0.0021594580030068755,,2.0,True,True,-7.995577287935394,0.1092137023806572,
uci,1,old_latent_pruning,22,True,,0.00230133393779397,,2.0,False,False,-7.774622738659109,0.10224159806966782,
uci,1,old_latent_pruning,26,True,,0.0021607920061796904,,2.0,True,True,-7.760647293347995,0.2339867204427719,
uci,1,old_latent_pruning,29,True,,0.0021450419444590807,,2.0,True,True,-7.829431803235458,0.3805686831474304,
uci,1,old_latent_pruning,32,False,,0.002269207965582609,,,,,,,
uci,1,old_latent_pruning,33,True,,0.002372874994762242,,2.0,False,False,-7.248201249970077,0.10383549332618713,
uci,1,old_latent_pruning,39,True,,0.0022295000962913036,,2.0,False,False,-7.776162885946075,0.05669113248586655,
