method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed,n_diverse_cfs
dice_new,39,True,0.12432429101318121,False,-75.65570929199978,27.678295135498047,uci,1,4.0
growing_spheres_new,40,True,0.0028494999278336763,True,-8.299985547612195,4.308455627473077,uci,1,
dice_new,40,True,0.12450737494509667,True,-24.6725470933422,12.116992950439453,uci,1,4.0
growing_spheres_new,42,True,0.008029333082959056,True,-10.143657394155712,12.121797777214757,uci,1,
dice_new,42,True,0.12367583299055696,True,-87.97120930011951,40.934600830078125,uci,1,2.0
growing_spheres_new,45,True,0.0034254170022904873,True,-9.46734591590576,4.968478134126888,uci,1,
dice_new,45,True,0.1263342919992283,True,-31.923841365983147,13.739689826965332,uci,1,4.0
growing_spheres_new,52,True,0.004146416904404759,True,-11.01240501935261,5.414284775483661,uci,1,
dice_new,52,True,0.1218147500185296,True,-45.30208939919932,16.06487464904785,uci,1,4.0
growing_spheres_new,54,True,0.00797416700515896,True,-11.702373399511083,12.121797777214757,uci,1,
dice_new,54,True,0.1266415830468759,True,-116.96793073556063,35.56201934814453,uci,1,3.0
growing_spheres_new,55,True,0.005754458950832486,True,-10.78928215515414,8.421501814817058,uci,1,
dice_new,55,True,0.12866337492596358,True,-31.686094545841648,17.70620346069336,uci,1,4.0
growing_spheres_new,56,True,0.006875791004858911,True,-9.32426019583406,8.421501814817058,uci,1,
dice_new,56,True,0.13232175004668534,True,-65.6502018868704,31.4146785736084,uci,1,4.0
growing_spheres_new,59,True,0.003551041940227151,True,-10.268182797233095,4.968478134126888,uci,1,
dice_new,59,True,0.12260612496174872,True,-32.62482192722929,19.731473922729492,uci,1,4.0
growing_spheres_new,4,True,0.006038374966010451,True,-11.628541219914597,6.84409400016639,uci,2,
dice_new,4,True,0.13505604106467217,True,-40.55619477510491,20.55495262145996,uci,2,4.0
growing_spheres_new,7,True,0.004140291945077479,True,-11.365143380995004,4.920647069407461,uci,2,
dice_new,7,True,0.12445154099259526,True,-46.512538606643965,21.050241470336914,uci,2,4.0
growing_spheres_new,8,True,0.007327042054384947,True,-9.310723015031943,7.828134052610799,uci,2,
dice_new,8,True,0.12484395899809897,True,-32.28620746696248,20.73566246032715,uci,2,4.0
growing_spheres_new,13,True,0.005485791014507413,True,-7.966654518254328,6.312311010356098,uci,2,
dice_new,13,True,0.12551316700410098,True,-28.473538238704208,21.60997772216797,uci,2,4.0
growing_spheres_new,14,True,0.008242083014920354,True,-10.542010289314721,12.2811941539535,uci,2,
dice_new,14,True,0.12392899999395013,True,-32.04563416374647,25.17337989807129,uci,2,4.0
growing_spheres_new,17,True,0.005523082916624844,True,-10.36294403143539,6.3123110103560975,uci,2,
dice_new,17,True,0.1241710000904277,True,-42.07774303134924,22.646732330322266,uci,2,4.0
growing_spheres_new,25,True,0.0036232080310583115,True,-11.024186437942806,4.561589600443509,uci,2,
dice_new,25,True,0.12476312497165054,True,-37.787847118048816,18.002470016479492,uci,2,4.0
growing_spheres_new,26,False,0.00830466696061194,,,,uci,2,
dice_new,26,True,0.12354137492366135,True,-91.92024783389023,33.23146438598633,uci,2,4.0
growing_spheres_new,30,False,0.008320999913848937,,,,uci,2,
dice_new,30,True,0.12410583405289799,False,-59.383543899611425,24.216825485229492,uci,2,4.0
growing_spheres_new,32,True,0.005529541056603193,True,-10.49704585421809,7.028817735506063,uci,2,
dice_new,32,True,0.12430345802567899,True,-52.68500813011728,22.9980525970459,uci,2,4.0
growing_spheres_new,35,True,0.003979125060141087,True,-9.257734103909673,4.561589600443509,uci,2,
dice_new,35,True,0.13068570895120502,True,-24.029008221656195,17.259992599487305,uci,2,4.0
growing_spheres_new,38,True,0.003311209031380713,True,-7.365782914817369,4.1069587638318445,uci,2,
dice_new,38,True,0.12457033398095518,True,-31.237596659064558,15.485828399658203,uci,2,4.0
growing_spheres_new,40,True,0.008327250019647181,True,-11.101444690138553,12.183411842406766,uci,2,
dice_new,40,True,0.12383716704789549,False,-31.980114216922452,23.218822479248047,uci,2,4.0
growing_spheres_new,42,True,0.005595416994765401,True,-7.73184655843703,6.312311010356098,uci,2,
dice_new,42,True,0.12403770803939551,True,-41.140526087875514,23.4314022064209,uci,2,4.0
growing_spheres_new,43,True,0.006291750003583729,True,-8.31590203282495,7.946951535555552,uci,2,
dice_new,43,True,0.12316945800557733,True,-30.353632717300805,18.817123413085938,uci,2,4.0
growing_spheres_new,45,True,0.006273499922826886,True,-8.425011553243614,7.946951535555551,uci,2,
dice_new,45,True,0.12374258297495544,False,-57.938990566554274,24.850948333740234,uci,2,4.0
growing_spheres_new,49,True,0.004233374958857894,True,-11.43726054406719,5.97199111517352,uci,2,
dice_new,49,True,0.12437020801007748,True,-49.73575845795046,24.09771156311035,uci,2,4.0
growing_spheres_new,50,True,0.004094667034223676,True,-9.623142851955157,5.97199111517352,uci,2,
dice_new,50,True,0.12381066603120416,True,-28.060393163780574,20.129722595214844,uci,2,4.0
growing_spheres_new,51,True,0.0039518330013379455,True,-11.450953049964857,4.7572811998063615,uci,2,
dice_new,51,True,0.12195283302571625,True,-36.819205645858816,20.3316707611084,uci,2,4.0
growing_spheres_new,53,True,0.0036560000153258443,True,-10.270126954884109,4.319031532050527,uci,2,
dice_new,53,True,0.12363108294084668,True,-22.42910374978837,18.11589813232422,uci,2,4.0
growing_spheres_new,55,True,0.0037815000396221876,True,-9.292193112689914,5.047911790124383,uci,2,
dice_new,55,True,0.1244063749909401,True,-23.24550690852351,14.762304306030273,uci,2,4.0
