method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed
dice_legacy,11,True,0.0008931159973144531,True,-7.028978532842817,1.8280293941497803,nhanes_real,1
growing_spheres_legacy,12,True,0.000270843505859375,True,-6.485293793671028,1.303970650694223,nhanes_real,1
dice_legacy,12,True,0.0008280277252197266,True,-6.6493475513973035,1.1979745626449585,nhanes_real,1
growing_spheres_legacy,13,True,0.0006961822509765625,True,-7.297317306444687,3.155934042391941,nhanes_real,1
dice_legacy,13,False,0.014854192733764648,,,,nhanes_real,1
growing_spheres_legacy,14,True,0.0008339881896972656,True,-7.718729263035149,5.473118095362603,nhanes_real,1
dice_legacy,14,False,0.014773130416870117,,,,nhanes_real,1
growing_spheres_legacy,16,True,0.0002601146697998047,True,-9.704869187864539,0.8290235966319411,nhanes_real,1
dice_legacy,16,True,0.00045013427734375,True,-9.623083067636838,1.0322253704071045,nhanes_real,1
growing_spheres_legacy,17,True,0.0009720325469970703,True,-11.20401564193974,3.5209582213660156,nhanes_real,1
dice_legacy,17,False,0.014733076095581055,,,,nhanes_real,1
growing_spheres_legacy,19,True,0.0005707740783691406,True,-8.491804765264991,4.171634071519861,nhanes_real,1
dice_legacy,19,True,0.001959085464477539,True,-8.108795134707163,2.3963968753814697,nhanes_real,1
growing_spheres_legacy,20,True,0.0008051395416259766,True,-11.82952103634679,4.847546729959401,nhanes_real,1
dice_legacy,20,False,0.014565706253051758,,,,nhanes_real,1
growing_spheres_legacy,21,True,0.0005247592926025391,True,-7.950930688400154,3.9963052538080794,nhanes_real,1
dice_legacy,21,True,0.0016009807586669922,True,-7.227742018603573,2.506709337234497,nhanes_real,1
growing_spheres_legacy,22,True,0.000965118408203125,True,-10.101652233365414,3.4508096683769964,nhanes_real,1
dice_legacy,22,False,0.014652013778686523,,,,nhanes_real,1
growing_spheres_legacy,0,True,0.0013859272003173828,True,-7.2114635494440495,1.739347153318722,nhanes_real,2
dice_legacy,0,False,0.01657891273498535,,,,nhanes_real,2
growing_spheres_legacy,4,True,0.00026607513427734375,True,-11.373155251496513,1.0421472407821892,nhanes_real,2
dice_legacy,4,True,0.0008509159088134766,True,-11.110304632841023,2.0462446212768555,nhanes_real,2
growing_spheres_legacy,5,True,0.00040602684020996094,True,-7.834892957988202,1.042584817996869,nhanes_real,2
dice_legacy,5,True,0.0012958049774169922,True,-7.543896557563471,3.010047435760498,nhanes_real,2
growing_spheres_legacy,7,True,0.000308990478515625,True,-6.6946572167014295,1.741388932591945,nhanes_real,2
dice_legacy,7,True,0.000843048095703125,True,-6.553551202365936,2.3075594902038574,nhanes_real,2
growing_spheres_legacy,8,True,0.0005538463592529297,True,-6.937830642130848,2.08898033649621,nhanes_real,2
dice_legacy,8,False,0.025471925735473633,,,,nhanes_real,2
growing_spheres_legacy,10,True,0.0006859302520751953,True,-8.306305862754865,2.9881702533873264,nhanes_real,2
dice_legacy,10,False,0.015917062759399414,,,,nhanes_real,2
growing_spheres_legacy,11,True,0.0006208419799804688,True,-6.855462720817259,2.9007540864039645,nhanes_real,2
dice_legacy,11,False,0.016360998153686523,,,,nhanes_real,2
growing_spheres_legacy,12,True,0.0006301403045654297,True,-8.96487770641781,2.535739742020568,nhanes_real,2
dice_legacy,12,False,0.01495671272277832,,,,nhanes_real,2
growing_spheres_legacy,13,True,0.0007030963897705078,True,-8.276754298241293,5.54073467562,nhanes_real,2
dice_legacy,13,False,0.015052080154418945,,,,nhanes_real,2
growing_spheres_legacy,14,True,0.0002751350402832031,True,-7.499423669831298,1.7092654071431528,nhanes_real,2
dice_legacy,14,True,0.0008840560913085938,True,-7.727010672571222,1.6425533294677734,nhanes_real,2
growing_spheres_legacy,17,True,0.0009462833404541016,True,-7.313034511124314,2.110216334666877,nhanes_real,2
dice_legacy,17,False,0.014628887176513672,,,,nhanes_real,2
growing_spheres_legacy,18,True,0.0003571510314941406,True,-9.005554048006468,1.6177096308353365,nhanes_real,2
dice_legacy,18,True,0.0009942054748535156,True,-8.894275270335688,2.8330721855163574,nhanes_real,2
growing_spheres_legacy,19,True,0.0007441043853759766,True,-7.527704483706202,3.1523615583052953,nhanes_real,2
dice_legacy,19,False,0.014962911605834961,,,,nhanes_real,2
growing_spheres_legacy,22,True,0.0008466243743896484,True,-9.822855826766263,2.635613783078124,nhanes_real,2
dice_legacy,22,False,0.014713048934936523,,,,nhanes_real,2
growing_spheres_legacy,23,True,0.00022983551025390625,True,-6.748957604106012,0.6732571170043525,nhanes_real,2
dice_legacy,23,True,0.0007250308990478516,True,-6.671772372188607,1.425832748413086,nhanes_real,2
growing_spheres_legacy,1,True,0.0017230510711669922,True,-7.273626263620127,1.6473217743796378,nhanes_real,3
dice_legacy,1,True,0.0037589073181152344,True,-7.432048596408277,2.209171772003174,nhanes_real,3
growing_spheres_legacy,2,True,0.00025916099548339844,True,-7.2495496123709895,0.7485185555592788,nhanes_real,3
dice_legacy,2,True,0.0007212162017822266,True,-7.3395552335159895,1.2739876508712769,nhanes_real,3
growing_spheres_legacy,6,True,0.0005409717559814453,True,-10.561727891854044,3.9002309127677126,nhanes_real,3
dice_legacy,6,True,0.0017518997192382812,True,-9.650677868393323,2.384906768798828,nhanes_real,3
growing_spheres_legacy,7,True,0.0005590915679931641,True,-10.406564117185104,2.173636097595775,nhanes_real,3
dice_legacy,7,True,0.0017380714416503906,True,-10.265239441787541,2.3131020069122314,nhanes_real,3
growing_spheres_legacy,8,True,0.0009529590606689453,True,-8.204358941636709,6.203573325340571,nhanes_real,3
dice_legacy,8,False,0.014898061752319336,,,,nhanes_real,3
growing_spheres_legacy,9,True,0.00037789344787597656,True,-16.485595788517088,1.0759363035529943,nhanes_real,3
dice_legacy,9,True,0.0010540485382080078,True,-15.351681968538703,2.6903843879699707,nhanes_real,3
growing_spheres_legacy,11,True,0.0008707046508789062,True,-9.858745367290101,4.2123048099196705,nhanes_real,3
dice_legacy,11,False,0.015157938003540039,,,,nhanes_real,3
growing_spheres_legacy,12,True,0.0010821819305419922,True,-11.065182784160646,3.240969456170135,nhanes_real,3
dice_legacy,12,False,0.015167951583862305,,,,nhanes_real,3
growing_spheres_legacy,14,True,0.00038123130798339844,True,-6.521885249512065,1.8212830321147595,nhanes_real,3
dice_legacy,14,True,0.0010640621185302734,True,-6.823240072695695,1.7475509643554688,nhanes_real,3
growing_spheres_legacy,16,True,0.0006759166717529297,True,-9.508395158468119,4.482524286169844,nhanes_real,3
dice_legacy,16,False,0.014566183090209961,,,,nhanes_real,3
growing_spheres_legacy,17,True,0.0004210472106933594,True,-7.829591589940879,2.3259108329190843,nhanes_real,3
dice_legacy,17,True,0.0010709762573242188,True,-7.440889039504914,2.191535472869873,nhanes_real,3
growing_spheres_legacy,18,True,0.0001709461212158203,True,-7.285301570559438,0.4059278581495882,nhanes_real,3
dice_legacy,18,True,0.0005812644958496094,True,-7.216565612007193,1.2235034704208374,nhanes_real,3
