dataset,seed,patient_idx,n_valid_targets_exhaustive,certified_infeasible,resolved_by_2k,resolved_by_synth,confirmed_blindspot,unresolved
nhanes_real,1,190,0,True,,,False,False
nhanes_real,1,194,0,True,,,False,False
nhanes_real,1,200,0,True,,,False,False
nhanes_real,1,203,0,True,,,False,False
nhanes_real,1,204,0,True,,,False,False
nhanes_real,1,206,0,True,,,False,False
nhanes_real,1,207,0,True,,,False,False
nhanes_real,1,208,0,True,,,False,False
nhanes_real,1,211,0,True,,,False,False
nhanes_real,1,215,0,True,,,False,False
nhanes_real,1,228,0,True,,,False,False
nhanes_real,1,236,0,True,,,False,False
nhanes_real,1,242,0,True,,,False,False
nhanes_real,1,245,0,True,,,False,False
nhanes_real,1,246,0,True,,,False,False
nhanes_real,1,247,0,True,,,False,False
nhanes_real,1,248,0,True,,,False,False
nhanes_real,1,249,0,True,,,False,False
nhanes_real,1,252,0,True,,,False,False
nhanes_real,1,254,0,True,,,False,False
nhanes_real,1,255,0,True,,,False,False
nhanes_real,1,256,0,True,,,False,False
nhanes_real,1,261,0,True,,,False,False
nhanes_real,1,267,0,True,,,False,False
nhanes_real,1,273,0,True,,,False,False
nhanes_real,1,275,0,True,,,False,False
nhanes_real,1,277,0,True,,,False,False
nhanes_real,1,278,0,True,,,False,False
nhanes_real,1,285,0,True,,,False,False
nhanes_real,1,287,0,True,,,False,False
nhanes_real,1,291,0,True,,,False,False
nhanes_real,1,293,0,True,,,False,False
nhanes_real,1,299,0,True,,,False,False
nhanes_real,1,300,0,True,,,False,False
nhanes_real,1,303,0,True,,,False,False
nhanes_real,1,307,0,True,,,False,False
nhanes_real,1,309,0,True,,,False,False
nhanes_real,1,314,0,True,,,False,False
nhanes_real,1,318,0,True,,,False,False
nhanes_real,1,322,0,True,,,False,False
nhanes_real,1,324,0,True,,,False,False
nhanes_real,1,325,0,True,,,False,False
nhanes_real,1,335,0,True,,,False,False
nhanes_real,1,337,0,True,,,False,False
nhanes_real,1,338,0,True,,,False,False
nhanes_real,1,343,0,True,,,False,False
nhanes_real,1,357,0,True,,,False,False
nhanes_real,1,363,0,True,,,False,False
nhanes_real,1,368,0,True,,,False,False
nhanes_real,1,381,0,True,,,False,False
nhanes_real,1,385,0,True,,,False,False
nhanes_real,1,387,0,True,,,False,False
nhanes_real,1,392,0,True,,,False,False
nhanes_real,1,393,0,True,,,False,False
nhanes_real,1,395,0,True,,,False,False
nhanes_real,1,401,0,True,,,False,False
nhanes_real,1,407,0,True,,,False,False
nhanes_real,1,415,0,True,,,False,False
nhanes_real,1,418,0,True,,,False,False
nhanes_real,1,419,0,True,,,False,False
nhanes_real,1,420,0,True,,,False,False
nhanes_real,1,421,0,True,,,False,False
nhanes_real,1,423,0,True,,,False,False
nhanes_real,1,427,0,True,,,False,False
nhanes_real,1,430,0,True,,,False,False
nhanes_real,1,431,0,True,,,False,False
nhanes_real,1,436,0,True,,,False,False
nhanes_real,1,437,0,True,,,False,False
nhanes_real,1,438,0,True,,,False,False
nhanes_real,1,446,0,True,,,False,False
nhanes_real,1,454,0,True,,,False,False
nhanes_real,1,462,0,True,,,False,False
nhanes_real,1,465,0,True,,,False,False
nhanes_real,1,472,0,True,,,False,False
nhanes_real,1,473,0,True,,,False,False
nhanes_real,1,479,0,True,,,False,False
nhanes_real,1,488,0,True,,,False,False
nhanes_real,1,491,0,True,,,False,False
nhanes_real,1,492,0,True,,,False,False
nhanes_real,1,496,0,True,,,False,False
nhanes_real,1,497,0,True,,,False,False
nhanes_real,1,499,0,True,,,False,False
nhanes_real,1,504,0,True,,,False,False
nhanes_real,1,506,0,True,,,False,False
nhanes_real,1,507,0,True,,,False,False
nhanes_real,1,509,0,True,,,False,False
nhanes_real,1,517,0,True,,,False,False
nhanes_real,1,521,0,True,,,False,False
nhanes_real,1,525,0,True,,,False,False
nhanes_real,1,526,0,True,,,False,False
nhanes_real,1,527,0,True,,,False,False
nhanes_real,1,528,0,True,,,False,False
nhanes_real,1,529,0,True,,,False,False
nhanes_real,1,532,0,True,,,False,False
nhanes_real,1,534,0,True,,,False,False
nhanes_real,1,535,0,True,,,False,False
nhanes_real,1,537,0,True,,,False,False
nhanes_real,1,540,0,True,,,False,False
nhanes_real,1,541,0,True,,,False,False
nhanes_real,1,543,0,True,,,False,False
nhanes_real,1,544,0,True,,,False,False
nhanes_real,1,555,0,True,,,False,False
nhanes_real,1,557,0,True,,,False,False
nhanes_real,1,561,0,True,,,False,False
nhanes_real,1,566,0,True,,,False,False
nhanes_real,1,567,0,True,,,False,False
nhanes_real,1,568,0,True,,,False,False
nhanes_real,1,569,0,True,,,False,False
nhanes_real,1,578,0,True,,,False,False
nhanes_real,1,583,0,True,,,False,False
nhanes_real,1,592,0,True,,,False,False
nhanes_real,1,595,0,True,,,False,False
nhanes_real,1,598,0,True,,,False,False
nhanes_real,1,602,0,True,,,False,False
nhanes_real,1,605,0,True,,,False,False
nhanes_real,1,606,0,True,,,False,False
nhanes_real,1,609,0,True,,,False,False
nhanes_real,1,610,0,True,,,False,False
