dataset,seed,patient_idx,method,success,latency_sec,cvr_hard,cvr_full,effort,kde
uci,0,8,FACE,True,0.0033714580349624157,1.0,1.0,10.912824630737305,-7.30843816452294
uci,0,8,GrowingSpheres,False,0.0013177079963497818,,,,
uci,0,8,REVISE,True,0.007603249978274107,1.0,1.0,11.794987678527832,-7.111246206135867
uci,0,9,DiCE,True,0.0036064579617232084,1.0,1.0,6.648592472076416,-11.992690247326284
uci,0,9,FACE,True,0.003994083032011986,1.0,1.0,11.339191436767578,-6.721918648165302
uci,0,9,GrowingSpheres,True,0.001018540991935879,1.0,1.0,5.859165540686307,-16.50751077491612
uci,0,9,REVISE,True,0.01621975004673004,1.0,1.0,9.011549949645996,-7.121674120187697
uci,0,11,DiCE,True,0.003555000002961606,1.0,1.0,7.171804904937744,-11.07223864101922
uci,0,11,FACE,True,0.0033919590059667826,1.0,1.0,7.3129119873046875,-7.441061175780613
uci,0,11,GrowingSpheres,True,0.001121249981224537,1.0,1.0,7.781985223467509,-20.701837867795646
uci,0,11,REVISE,True,0.02069591701729223,1.0,1.0,8.385210037231445,-7.111833505715639
uci,0,14,DiCE,True,0.004190541978459805,1.0,1.0,9.932059288024902,-12.936844637644711
uci,0,14,FACE,True,0.003284792008344084,1.0,1.0,7.273355484008789,-7.114852629664881
uci,0,14,GrowingSpheres,False,0.001288208004552871,,,,
uci,0,14,REVISE,True,0.007580125005915761,1.0,1.0,9.235319137573242,-7.097766539418014
uci,0,16,DiCE,False,0.014538916992023587,,,,
uci,0,16,FACE,True,0.003319834009744227,1.0,1.0,8.241262435913086,-7.368319136873541
uci,0,16,GrowingSpheres,False,0.0012740829843096435,,,,
uci,0,16,REVISE,True,0.002627542009577155,1.0,1.0,10.488404273986816,-7.147789695877822
uci,0,20,DiCE,True,0.0016862499760463834,1.0,1.0,4.333748817443848,-8.045718711479484
uci,0,20,FACE,True,0.0032932499889284372,1.0,1.0,2.421497106552124,-7.372343365155737
uci,0,20,GrowingSpheres,True,0.0008292919956147671,1.0,1.0,8.78396209155071,-8.635089696153159
uci,0,20,REVISE,True,0.0065115419565699995,1.0,1.0,6.241293907165527,-7.101764818935753
uci,0,24,DiCE,False,0.01410216698423028,,,,
uci,0,24,FACE,True,0.003301416989415884,1.0,1.0,5.496316909790039,-7.3949131618880735
uci,0,24,GrowingSpheres,True,0.001223792030941695,1.0,1.0,13.344606386877594,-18.55609219432943
uci,0,24,REVISE,True,0.012029291014187038,1.0,1.0,9.68480396270752,-7.1423697925614
uci,0,28,DiCE,True,0.0018631669809110463,1.0,1.0,5.059545516967773,-16.61312035928971
uci,0,28,FACE,True,0.0033036250388249755,1.0,1.0,4.374889373779297,-6.815475004600001
uci,0,28,GrowingSpheres,True,0.000597250007558614,1.0,1.0,4.6484327143148425,-16.129229830753985
uci,0,28,REVISE,True,0.00798166694585234,1.0,1.0,10.661727905273438,-7.0898209647839
uci,0,30,DiCE,True,0.002663916035089642,1.0,1.0,7.566890716552734,-9.245615478137552
uci,0,30,FACE,True,0.0033433340140618384,0.0,1.0,7.82313346862793,-7.411263025892911
uci,0,30,GrowingSpheres,True,0.0009749170276336372,1.0,1.0,7.779030065667298,-13.004269437001309
uci,0,30,REVISE,True,0.008911999990232289,1.0,1.0,5.975250244140625,-7.093687995300495
uci,0,32,DiCE,True,0.0029458749922923744,1.0,1.0,7.591073989868164,-17.628063298820244
uci,0,32,FACE,True,0.003263166989199817,1.0,1.0,12.85312557220459,-7.411263025892911
uci,0,32,GrowingSpheres,True,0.0011408330174162984,1.0,1.0,11.234729234513757,-18.56746469310189
uci,0,32,REVISE,True,0.018240542034618556,1.0,1.0,10.032974243164062,-7.127674757963341
uci,0,34,DiCE,True,0.0036467909812927246,1.0,1.0,8.680743217468262,-14.631395291691208
uci,0,34,FACE,True,0.0032697910210117698,1.0,1.0,10.087632179260254,-7.3307008501987125
uci,0,34,GrowingSpheres,True,0.0012346250005066395,1.0,1.0,13.09714204801545,-18.393692081959678
uci,0,34,REVISE,True,0.005527541972696781,1.0,1.0,10.634594917297363,-7.114814806538677
uci,0,38,DiCE,False,0.014759499987121671,,,,
uci,0,38,FACE,True,0.0033286669640801847,1.0,1.0,15.106645584106445,-6.999370755055658
uci,0,38,GrowingSpheres,False,0.0012625830131582916,,,,
uci,0,38,REVISE,True,0.008529666985850781,1.0,1.0,16.829879760742188,-7.100663103326746
uci,0,39,DiCE,True,0.001749624963849783,1.0,1.0,4.8569207191467285,-8.866371556776055
uci,0,39,FACE,True,0.0032497919746674597,1.0,1.0,5.728342533111572,-7.479703823251516
uci,0,39,GrowingSpheres,True,0.0007465410162694752,1.0,1.0,6.564077147210428,-12.100235006389148
uci,0,39,REVISE,True,0.0006070830277167261,1.0,1.0,9.051560401916504,-7.14887084825681
uci,0,44,DiCE,True,0.002765666984487325,1.0,1.0,6.643640995025635,-11.212433635977039
uci,0,44,FACE,True,0.0033320410293526947,1.0,1.0,6.777678489685059,-7.411263025892911
uci,0,44,GrowingSpheres,True,0.0011774169979617,1.0,1.0,9.458897443260751,-11.125586941250166
uci,0,44,REVISE,True,0.0033639169996604323,1.0,1.0,7.582653522491455,-7.142209441811089
uci,0,45,DiCE,True,0.00172729097539559,1.0,1.0,4.709555625915527,-11.837683817109419
uci,0,45,FACE,True,0.0032696250127628446,1.0,1.0,7.31645393371582,-6.866234484052912
uci,0,45,GrowingSpheres,True,0.0007911669672466815,1.0,1.0,7.076192429914785,-10.877912111594998
uci,0,45,REVISE,True,0.005945708020590246,1.0,1.0,8.229866027832031,-7.11664531882044
uci,0,50,DiCE,True,0.0028633750043809414,1.0,1.0,6.595188140869141,-16.44526741799391
uci,0,50,FACE,True,0.0032769590034149587,1.0,1.0,10.120116233825684,-7.443234742667363
uci,0,50,GrowingSpheres,True,0.0010139169753529131,1.0,1.0,8.411575639863308,-14.681387619095174
uci,0,50,REVISE,True,0.014132582989986986,1.0,1.0,8.615996360778809,-7.14575206152019
uci,0,52,DiCE,True,0.0031901669572107494,1.0,1.0,8.511548042297363,-12.714307441370169
uci,0,52,FACE,True,0.0033645000075921416,1.0,1.0,5.410989761352539,-7.488940560602581
uci,0,52,GrowingSpheres,True,0.0012923330068588257,1.0,1.0,11.595365819883742,-14.263260503657591
uci,0,52,REVISE,True,0.013468749995809048,1.0,1.0,9.142385482788086,-7.143758554242538
uci,0,53,DiCE,False,0.014522166980896145,,,,
uci,0,53,FACE,True,0.003311290987767279,1.0,1.0,20.03340721130371,-7.488940560602581
uci,0,53,GrowingSpheres,False,0.001285333011765033,,,,
uci,0,53,REVISE,True,0.004793166997842491,1.0,1.0,19.55362319946289,-7.128140332492265
uci,0,55,DiCE,True,0.0041498750215396285,1.0,1.0,9.234487533569336,-14.260845344984817
