cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
euclidean_soft_lam10.0,2,137,137,100.0,58.3941605839416,31.386861313868614,-7.575258938480208,4.022650783079384,0.0031846036899147783
euclidean_soft_lam10.0,3,137,137,100.0,75.91240875912408,70.8029197080292,-7.585835905203597,3.849039149545405,0.003061508855027824
euclidean_soft_lam10.0,4,117,117,100.0,79.48717948717949,61.53846153846154,-7.549745396399738,3.6872114136687713,0.0031502005732697365
euclidean_soft_lam100.0,0,149,149,100.0,69.79865771812081,57.71812080536913,-7.563005215297085,3.9457510949781276,0.0032119619380369655
euclidean_soft_lam100.0,1,135,135,100.0,85.92592592592592,83.7037037037037,-7.535004768055752,2.743899897734324,0.0034905648113365854
euclidean_soft_lam100.0,2,137,137,100.0,58.3941605839416,31.386861313868614,-7.575258938480208,4.022650783079384,0.003264100994000392
euclidean_soft_lam100.0,3,137,137,100.0,75.91240875912408,70.8029197080292,-7.585835905203597,3.849039149545405,0.003115535606239216
euclidean_soft_lam100.0,4,117,117,100.0,79.48717948717949,61.53846153846154,-7.549745396399738,3.6872114136687713,0.003178765744559867
riemannian_hard,0,149,149,100.0,85.90604026845638,83.22147651006712,-7.580217706275557,2.4469169319276043,0.002488667459849017
riemannian_hard,1,135,135,100.0,88.14814814814815,87.4074074074074,-7.551717364347897,2.252306180750882,0.002611964228304262
riemannian_hard,2,137,137,100.0,67.15328467153284,63.503649635036496,-7.574224839437575,3.170325219196125,0.002533610681170397
riemannian_hard,3,137,137,100.0,88.32116788321169,85.40145985401459,-7.588574292865008,2.564408311008537,0.0025461584530994644
riemannian_hard,4,117,117,100.0,81.19658119658119,70.94017094017094,-7.589083551332963,2.416687691058868,0.0025119172751457254
riemannian_none,0,149,149,100.0,91.2751677852349,91.2751677852349,-7.626843711237309,1.4355720430612564,0.0035897156222872914
riemannian_none,1,135,135,100.0,91.11111111111111,90.37037037037037,-7.5723107642662955,1.2912748173431114,0.0034139145799498088
riemannian_none,2,137,137,100.0,90.51094890510949,90.51094890510949,-7.610086176618482,1.720412925647123,0.003381218410260166
riemannian_none,3,137,137,100.0,99.27007299270073,98.54014598540147,-7.610691919874838,1.4470097022335024,0.0034445124694458423
riemannian_none,4,117,117,100.0,88.03418803418803,87.17948717948718,-7.598742530433453,1.3396910393339956,0.003444970068501845
riemannian_soft_lam0.1,0,149,149,100.0,87.24832214765101,86.57718120805369,-7.6163896591360585,1.6187869163367572,0.003187065396376604
riemannian_soft_lam0.1,1,135,135,100.0,91.11111111111111,91.11111111111111,-7.566431727152127,1.559075634788584,0.003241137319451354
riemannian_soft_lam0.1,2,137,137,100.0,76.64233576642336,74.45255474452554,-7.603297957437348,2.1143146775064676,0.0032831775980498067
riemannian_soft_lam0.1,3,137,137,100.0,96.35036496350365,95.62043795620438,-7.604783523213879,1.6746177046838469,0.00324165537175004
riemannian_soft_lam0.1,4,117,117,100.0,82.05128205128204,77.77777777777779,-7.599340006524266,1.5924713583583505,0.004180834692819235
riemannian_soft_lam1.0,0,149,149,100.0,72.48322147651007,58.38926174496645,-7.573991183260974,3.796889505430356,0.003163767575783192
riemannian_soft_lam1.0,1,135,135,100.0,82.96296296296296,81.48148148148148,-7.53957303089616,2.785764676111716,0.003498442247682375
riemannian_soft_lam1.0,2,137,137,100.0,56.934306569343065,32.11678832116788,-7.578446390118872,4.155811790132175,0.0032676107103147317
riemannian_soft_lam1.0,3,137,137,100.0,79.56204379562044,72.99270072992701,-7.579862658855436,3.7925363096007465,0.0032318293513818063
riemannian_soft_lam1.0,4,117,117,100.0,81.19658119658119,62.39316239316239,-7.561889641889169,3.5011995429666634,0.0032365056671177796
riemannian_soft_lam10.0,0,149,149,100.0,73.8255033557047,59.73154362416108,-7.574411808815707,3.920305899325633,0.0032474734686039563
riemannian_soft_lam10.0,1,135,135,100.0,82.96296296296296,81.48148148148148,-7.540267579824998,2.816484249521185,0.003128206133152551
riemannian_soft_lam10.0,2,137,137,100.0,57.66423357664233,32.846715328467155,-7.578502861275229,4.178464543210329,0.0031389869697711
riemannian_soft_lam10.0,3,137,137,100.0,79.56204379562044,72.99270072992701,-7.581238906287954,3.931119708684239,0.0032109923369291484
riemannian_soft_lam10.0,4,117,117,100.0,82.05128205128204,63.24786324786324,-7.556675624781933,3.6724131820548296,0.0031920582967467546
riemannian_soft_lam100.0,0,149,149,100.0,73.8255033557047,59.73154362416108,-7.574411808815707,3.920305899325633,0.0031951359034071603
riemannian_soft_lam100.0,1,135,135,100.0,82.96296296296296,81.48148148148148,-7.540267579824998,2.816484249521185,0.0031749305630067778
riemannian_soft_lam100.0,2,137,137,100.0,57.66423357664233,32.846715328467155,-7.578502861275229,4.178464543210329,0.0032323376814338022
riemannian_soft_lam100.0,3,137,137,100.0,79.56204379562044,72.99270072992701,-7.581238906287954,3.931119708684239,0.0032164105842990786
riemannian_soft_lam100.0,4,117,117,100.0,82.05128205128204,63.24786324786324,-7.556675624781933,3.6724131820548296,0.0031835648109817473
