patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
612,True,1.0,"[3631, 3211]",0.30642609000205995,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.29741085328474,0.4332733750343323,0.012285374978091568,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
614,True,1.0,"[3631, 450]",0.781407606601715,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.245966257749523,1.0084054470062256,0.012411708012223244,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
615,True,1.0,"[3631, 1101]",0.8230408191680908,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.91687789728287,1.7890956401824951,0.012789957982022315,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
616,True,1.0,"[3631, 943]",0.7572595417499542,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.616746525806882,1.0166972875595093,0.012905290990602225,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
617,True,1.0,"[3631, 2914]",1.2623680710792542,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.244995089415061,1.6857497692108154,0.012460250000003725,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
618,True,1.0,"[3631, 172]",0.5184544637799263,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.2216793847596605,0.3699020445346832,0.012410083960276097,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
619,True,1.0,"[3631, 1777]",1.4976950645446778,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.784156338510231,2.5101325511932373,0.012936374987475574,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
620,True,1.0,"[3631, 2524]",0.629275894165039,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.494396182308529,1.3889766931533813,0.013003667001612484,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
622,True,1.0,"[3631, 412]",0.48102134764194493,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.2035786844739125,0.3941913843154907,0.01250570802949369,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
624,True,1.0,"[3631, 2706]",1.0301499724388123,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.426534654677996,2.636700391769409,0.0125565420021303,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
