cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
euclidean_soft_lam1.0,2,23,23,100.0,69.56521739130434,69.56521739130434,-7.72868342803893,0.4472825080966172,0.0020532301303160657
euclidean_soft_lam1.0,3,22,22,100.0,68.18181818181817,68.18181818181817,-7.901133520041663,0.3767362575639378,0.002048666631294868
euclidean_soft_lam1.0,4,23,23,100.0,82.6086956521739,82.6086956521739,-7.856039967580982,0.5592072738901429,0.002145681312591109
euclidean_soft_lam10.0,0,25,25,100.0,72.0,72.0,-7.572484974331923,0.8933847650140524,0.002098984962794884
euclidean_soft_lam10.0,1,20,20,100.0,60.0,60.0,-7.802714530931198,0.292217436991632,0.0020549541455693
euclidean_soft_lam10.0,2,23,23,100.0,69.56521739130434,69.56521739130434,-7.7206037650152215,0.522637901827693,0.002077260864493591
euclidean_soft_lam10.0,3,22,22,100.0,72.72727272727273,72.72727272727273,-7.84608076034581,0.751127365468578,0.0020398787640839044
euclidean_soft_lam10.0,4,23,23,100.0,82.6086956521739,82.6086956521739,-7.837971983565571,0.8173518184086551,0.0020288024755680174
euclidean_soft_lam100.0,0,25,25,100.0,72.0,72.0,-7.572484974331923,0.8933847650140524,0.002078006679657804
euclidean_soft_lam100.0,1,20,20,100.0,60.0,60.0,-7.802714530931198,0.292217436991632,0.0020523249433608247
euclidean_soft_lam100.0,2,23,23,100.0,69.56521739130434,69.56521739130434,-7.7206037650152215,0.522637901827693,0.0020545488704278954
euclidean_soft_lam100.0,3,22,22,100.0,72.72727272727273,72.72727272727273,-7.84608076034581,0.751127365468578,0.002057066316906827
euclidean_soft_lam100.0,4,23,23,100.0,82.6086956521739,82.6086956521739,-7.837971983565571,0.8173518184086551,0.0020225326120650437
riemannian_hard,0,25,16,64.0,31.25,31.25,-7.442737369165689,0.1287602322408929,0.00205189008032898
riemannian_hard,1,20,15,75.0,33.33333333333333,33.33333333333333,-7.748235949164728,0.15388342638810473,0.0020045646495417996
riemannian_hard,2,23,20,86.95652173913044,45.0,45.0,-7.723510660559296,0.16686521107330915,0.002055054252116843
riemannian_hard,3,22,14,63.63636363636363,50.0,50.0,-7.784601939214878,0.2015942119594131,0.0020683599075048045
riemannian_hard,4,23,16,69.56521739130434,50.0,50.0,-7.661394385958993,0.3587101846933365,0.0020918043927572565
riemannian_none,0,25,25,100.0,20.0,20.0,-7.603179053427409,0.086635472998023,0.0021309497579931756
riemannian_none,1,20,20,100.0,35.0,35.0,-7.7955787935400975,0.11210891911759968,0.002125200099544545
riemannian_none,2,23,23,100.0,26.08695652173913,26.08695652173913,-7.761416005986336,0.10248581538705719,0.0021641810839671343
riemannian_none,3,22,22,100.0,31.818181818181817,31.818181818181817,-7.957782490068842,0.07695664228363469,0.00211832577373235
riemannian_none,4,23,23,100.0,26.08695652173913,26.08695652173913,-7.880196612803571,0.10699435226295302,0.002121166612082317
riemannian_soft_lam0.1,0,25,25,100.0,40.0,40.0,-7.601935286039901,0.15695421703159806,0.0020375349977984516
riemannian_soft_lam0.1,1,20,20,100.0,35.0,35.0,-7.798280541320312,0.13761844485998148,0.0021079542551887603
riemannian_soft_lam0.1,2,23,23,100.0,47.82608695652174,47.82608695652174,-7.760920238135216,0.12979790673631686,0.002062385825885661
riemannian_soft_lam0.1,3,22,22,100.0,45.45454545454545,45.45454545454545,-7.953110017451511,0.10159773785959589,0.002081645864315959
riemannian_soft_lam0.1,4,23,23,100.0,52.17391304347826,52.17391304347826,-7.879823351402384,0.15588205145752945,0.0020836684397299824
riemannian_soft_lam1.0,0,25,25,100.0,52.0,52.0,-7.58874390509417,0.43930027715861797,0.002100588313769496
riemannian_soft_lam1.0,1,20,20,100.0,55.00000000000001,55.00000000000001,-7.801340628096628,0.29072934910655024,0.0021435603965073297
riemannian_soft_lam1.0,2,23,23,100.0,60.86956521739131,60.86956521739131,-7.723057386616587,0.49158940861082595,0.002079545383584509
riemannian_soft_lam1.0,3,22,22,100.0,68.18181818181817,68.18181818181817,-7.875010622606826,0.49193032475357706,0.0020867253637829866
riemannian_soft_lam1.0,4,23,23,100.0,73.91304347826086,73.91304347826086,-7.859797173160261,0.539327369759912,0.0020503370400072386
riemannian_soft_lam10.0,0,25,25,100.0,56.00000000000001,56.00000000000001,-7.572545713627927,0.8819530565291643,0.002078294914681412
riemannian_soft_lam10.0,1,20,20,100.0,55.00000000000001,55.00000000000001,-7.801340628096628,0.29072934910655024,0.0020588498970027505
riemannian_soft_lam10.0,2,23,23,100.0,60.86956521739131,60.86956521739131,-7.723057386616587,0.49158940861082595,0.002074784338575461
riemannian_soft_lam10.0,3,22,22,100.0,68.18181818181817,68.18181818181817,-7.844759632198984,0.7413695923645388,0.002068670540624673
riemannian_soft_lam10.0,4,23,23,100.0,73.91304347826086,73.91304347826086,-7.841729189144849,0.7974719142784243,0.0020731975648389744
riemannian_soft_lam100.0,0,25,25,100.0,56.00000000000001,56.00000000000001,-7.572545713627927,0.8819530565291643,0.0020994349964893882
riemannian_soft_lam100.0,1,20,20,100.0,55.00000000000001,55.00000000000001,-7.801340628096628,0.29072934910655024,0.002072941744700035
riemannian_soft_lam100.0,2,23,23,100.0,60.86956521739131,60.86956521739131,-7.723057386616587,0.49158940861082595,0.0020578370389082697
riemannian_soft_lam100.0,3,22,22,100.0,68.18181818181817,68.18181818181817,-7.844759632198984,0.7413695923645388,0.0020626230001322137
riemannian_soft_lam100.0,4,23,23,100.0,73.91304347826086,73.91304347826086,-7.841729189144849,0.7974719142784243,0.0020473224779023434
