patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
16,True,1.0,"[237, 50]",1.0632749125361443,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.270942105708437,0.15881425142288208,0.0020767500391229987,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
20,True,1.0,"[237, 28]",1.0567739233374596,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.489508006538868,0.11419540643692017,0.001992790959775448,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
24,True,1.0,"[237, 56]",0.04595966637134552,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.7820534164934045,0.09594172239303589,0.002053625008556992,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
28,True,1.0,"[237, 19]",2.0937443673610687,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.621190292676918,0.2018737941980362,0.002147541963495314,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
30,True,1.0,"[237, 19]",0.014338991604745388,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.653480745801561,0.029338082298636436,0.0027081670123152435,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
32,True,1.0,"[237, 88]",2.3126300573349,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.998484600368558,0.6535968780517578,0.002585915965028107,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
34,True,1.0,"[237, 71]",0.6344369649887085,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": true, ""directional"": true}",-7.564463995210781,1.3477435111999512,0.0022418329608626664,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
38,True,1.0,"[237, 70]",0.10229124873876572,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.623748232651146,0.2164475917816162,0.002168874954804778,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
39,True,1.0,"[237, 5]",0.47256699204444885,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": true, ""directional"": true}",-7.224848126735944,1.2225826978683472,0.002057792036794126,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
44,True,1.0,"[237, 5]",0.005528796464204788,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.289108364824157,0.016981080174446106,0.002033458964433521,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
45,True,1.0,"[237, 149]",2.008614769205451,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.448019507234985,0.02198074385523796,0.0020208750502206385,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
50,True,1.0,"[237, 56]",2.0193423368036747,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.795295151247658,0.05410711467266083,0.0020692499820142984,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
52,True,1.0,"[237, 70]",1.366676539182663,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.739095284626387,0.7872010469436646,0.0020550420158542693,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
53,True,1.0,"[237, 97]",0.025896873325109482,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.362571798918867,0.06568252295255661,0.002035207988228649,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
55,True,1.0,"[237, 54]",1.0449807457625866,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.92717183675212,0.08562057465314865,0.002003457979299128,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
