dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
uci,2,0.5,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.5,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.5,36,max_heart_rate,11.024009704589844,,14.20881462097168,conformal_quantile,v3
uci,2,0.5,36,oldpeak,0.7848711013793945,,0.839365541934967,conformal_quantile,v3
uci,2,0.5,36,resting_bp,11.941455841064453,,15.896270751953125,conformal_quantile,v3
uci,2,0.5,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.5,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.8,36,age,2.4607315063476562,,1.615283727645874,conformal_quantile,v3
uci,2,0.8,36,cholesterol,59.44561767578125,,42.956993103027344,conformal_quantile,v3
uci,2,0.8,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.8,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.8,36,max_heart_rate,22.757400512695312,,14.20881462097168,conformal_quantile,v3
uci,2,0.8,36,oldpeak,1.1216670274734497,,0.839365541934967,conformal_quantile,v3
uci,2,0.8,36,resting_bp,27.76634979248047,,15.896270751953125,conformal_quantile,v3
uci,2,0.8,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.8,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.9,36,age,3.7906627655029297,,1.615283727645874,conformal_quantile,v3
uci,2,0.9,36,cholesterol,81.31517791748047,,42.956993103027344,conformal_quantile,v3
uci,2,0.9,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.9,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.9,36,max_heart_rate,31.170364379882812,,14.20881462097168,conformal_quantile,v3
uci,2,0.9,36,oldpeak,1.347655177116394,,0.839365541934967,conformal_quantile,v3
uci,2,0.9,36,resting_bp,35.89610290527344,,15.896270751953125,conformal_quantile,v3
uci,2,0.9,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.9,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.99,36,age,6.3843231201171875,,1.615283727645874,conformal_quantile,v3
uci,2,0.99,36,cholesterol,143.21585083007812,,42.956993103027344,conformal_quantile,v3
uci,2,0.99,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.99,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.99,36,max_heart_rate,48.722896575927734,,14.20881462097168,conformal_quantile,v3
uci,2,0.99,36,oldpeak,2.1104071140289307,,0.839365541934967,conformal_quantile,v3
uci,2,0.99,36,resting_bp,54.64768600463867,,15.896270751953125,conformal_quantile,v3
uci,2,0.99,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.99,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,3,0.95,36,age,5.173368453979492,,1.396005392074585,conformal_quantile,v3
uci,3,0.95,36,cholesterol,79.32302856445312,,39.56492614746094,conformal_quantile,v3
uci,3,0.95,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.95,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.95,36,max_heart_rate,38.215614318847656,,16.554344177246094,conformal_quantile,v3
uci,3,0.95,36,oldpeak,1.9019302129745483,,0.880749523639679,conformal_quantile,v3
uci,3,0.95,36,resting_bp,28.682086944580078,,12.558513641357422,conformal_quantile,v3
uci,3,0.95,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.95,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.05,36,age,0.10912132263183594,,1.396005392074585,conformal_quantile,v3
uci,3,0.05,36,cholesterol,8.685417175292969,,39.56492614746094,conformal_quantile,v3
uci,3,0.05,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
