dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v3,old_latent_pruning,0.95,463,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009206542046740651,0.0,0.0,,"[3086, 2069]",2.0,0.8847662806510925,True,False,False,False,True,False,-7.452762241576858,2.8336222171783447,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,464,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009832417010329664,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,466,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008873959071934223,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,468,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009488249896094203,0.0,0.0,,"[3086, 1700]",2.0,1.8074190616607666,True,True,False,False,False,True,-8.285963522091025,5.700872898101807,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,469,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009247208014130592,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,475,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008710124995559454,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,476,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008984665968455374,0.0,0.0,,"[3086, 964]",2.0,1.5614138841629028,True,True,True,False,False,False,-6.663771392620744,5.419648170471191,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,477,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009313749964348972,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,482,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.010862500057555735,0.0,0.0,,"[3086, 1902]",2.0,2.894463539123535,True,True,True,False,False,True,-7.035018199405063,6.117462635040283,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,483,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009625584003515542,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,484,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.010034666978754103,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,489,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009779333020560443,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,490,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008944791043177247,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,491,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008833499974571168,0.0,0.0,,"[3086, 2613]",2.0,0.7402248382568359,False,False,False,False,False,False,-6.296588079744705,2.4721477031707764,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,497,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008850791957229376,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,502,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009322457946836948,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,516,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008959917002357543,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,518,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008946291985921562,0.0,0.0,,"[3086, 61]",2.0,3.828620433807373,False,False,False,False,False,False,-7.639464319439542,10.017983436584473,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,521,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009738707914948463,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,524,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.00954374996945262,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,527,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009805208072066307,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,529,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.00956933293491602,0.0,0.0,,"[3086, 2938]",2.0,0.8692154884338379,True,True,False,True,False,True,-6.765421203326005,3.549166679382324,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,530,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009152374928817153,0.0,0.0,,"[3086, 61]",2.0,0.9301661849021912,True,True,False,True,False,False,-6.389803985725164,2.8424248695373535,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,531,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009780624997802079,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,535,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008732708054594696,0.0,0.0,,"[3086, 1509]",2.0,2.390477418899536,True,True,False,True,False,True,-7.303860389343289,7.644388198852539,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,536,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009893000009469688,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,537,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008616958046332002,0.0,0.0,,"[3086, 701]",2.0,1.6692365407943726,False,False,False,False,False,False,-6.517710491547517,3.9048285484313965,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,544,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009384083095937967,0.0,0.0,,"[3086, 933]",2.0,0.8001678586006165,True,True,False,True,False,True,-6.905878576395937,2.651843309402466,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,549,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009187333984300494,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,550,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009254125063307583,0.0,0.0,,"[3086, 2170]",2.0,1.5231586694717407,True,True,False,True,False,True,-6.722375815604586,3.9942569732666016,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,555,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009504582965746522,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,556,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008707959088496864,,,,,,,,,,,,,,,,,,
