dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v2,dsr_c1,0.95,707,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0044408750254660845,0.0,0.0,,"[3086, 1973]",2.0,0.7446673512458801,False,False,False,False,False,False,-6.316595287685436,2.327451467514038,,,,
nhanes_real,0,v2,dsr_c1,0.95,708,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004189374973066151,0.0,0.0,,"[3086, 652]",2.0,1.0412187576293945,True,False,False,False,True,False,-9.64833118256773,3.6766912937164307,,,,
nhanes_real,0,v2,dsr_c1,0.95,709,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004105874919332564,0.0,0.0,,"[3086, 2341]",2.0,0.0550977922976017,False,False,False,False,False,False,-6.237103212421212,0.20452670753002167,,,,
nhanes_real,0,v2,dsr_c1,0.95,710,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.003874832997098565,0.0,0.0,,"[3086, 2139]",2.0,0.11389624327421188,False,False,False,False,False,False,-6.199315022342476,0.3997725546360016,,,,
nhanes_real,0,v2,dsr_c1,0.95,711,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004125374951399863,0.0,0.0,,"[3086, 964]",2.0,0.49422430992126465,False,False,False,False,False,False,-6.46145299675903,1.139609694480896,,,,
nhanes_real,0,v2,dsr_c1,0.95,712,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.00434154097456485,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,713,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0037922500632703304,0.0,0.0,,"[3086, 2499]",2.0,6.372075080871582,False,False,False,False,False,False,-8.46598147224904,17.80545997619629,,,,
nhanes_real,0,v2,dsr_c1,0.95,716,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.0038478330243378878,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,718,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.00363016698975116,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,719,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0034596669720485806,0.0,0.0,,"[3086, 2758]",2.0,1.2434215545654297,True,False,False,False,True,False,-7.343018691182426,3.9255340099334717,,,,
nhanes_real,0,v2,dsr_c1,0.95,720,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004139957949519157,0.0,0.0,,"[3086, 964]",2.0,3.2559947967529297,False,False,False,False,False,False,-7.2417048393293415,8.645919799804688,,,,
nhanes_real,0,v2,dsr_c1,0.95,721,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.006115458090789616,0.0,0.0,,"[3086, 298]",2.0,0.5751473903656006,False,False,False,False,False,False,-6.895816684942177,2.703939914703369,,,,
nhanes_real,0,v2,dsr_c1,0.95,722,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.005760875064879656,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,723,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.01482429204043001,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,724,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004294250044040382,0.0,0.0,,"[3086, 964]",2.0,1.6956843137741089,False,False,False,False,False,False,-6.563358572649399,4.643983840942383,,,,
