success,real_cvr_hop,real_cvr_endpoint,latency_sec,dataset,seed,patient_idx
True,True,True,0.0017901669489219785,nhanes_real,0,660
True,True,True,0.0017458749935030937,nhanes_real,0,662
True,True,True,0.0018595419824123383,nhanes_real,0,664
True,True,True,0.0017988330218940973,nhanes_real,0,665
True,True,True,0.0017563749570399523,nhanes_real,0,668
True,True,True,0.0017490839818492532,nhanes_real,0,671
True,True,True,0.0017335840966552496,nhanes_real,0,672
True,True,True,0.0017504580318927765,nhanes_real,0,679
True,True,True,0.00178416701965034,nhanes_real,0,684
True,True,True,0.0017238750588148832,nhanes_real,0,687
True,True,True,0.001961416914127767,nhanes_real,0,690
True,True,True,0.0017859169747680426,nhanes_real,0,694
True,True,True,0.0017920839600265026,nhanes_real,0,695
True,True,True,0.0017775839660316706,nhanes_real,0,698
True,True,True,0.001805500010959804,nhanes_real,0,699
True,True,True,0.0017886669375002384,nhanes_real,0,700
True,True,True,0.0017735830042511225,nhanes_real,0,703
True,True,True,0.0017706250073388219,nhanes_real,0,705
True,True,True,0.0017631660448387265,nhanes_real,0,707
True,True,True,0.0017787920078262687,nhanes_real,0,708
True,True,True,0.0017683750484138727,nhanes_real,0,710
True,True,True,0.001815625000745058,nhanes_real,0,711
True,True,True,0.0018298750510439277,nhanes_real,0,712
True,True,True,0.0018430829513818026,nhanes_real,0,713
True,True,True,0.0017667500069364905,nhanes_real,0,716
True,True,True,0.0017856659833341837,nhanes_real,0,718
True,True,True,0.001783458050340414,nhanes_real,0,719
True,True,True,0.00173437490593642,nhanes_real,0,720
True,True,True,0.001747541013173759,nhanes_real,0,721
True,True,True,0.0017797080799937248,nhanes_real,0,722
True,True,True,0.0017868340946733952,nhanes_real,0,723
True,True,True,0.0017661669990047812,nhanes_real,0,724
True,True,True,0.0017336660530418158,nhanes_real,0,725
True,True,True,0.001794292009435594,nhanes_real,0,726
True,True,True,0.0018069169018417597,nhanes_real,0,728
True,True,True,0.0017925420543178916,nhanes_real,0,729
True,True,True,0.0018119169399142265,nhanes_real,0,730
True,True,True,0.0017418330535292625,nhanes_real,0,734
True,True,True,0.0019862080225721,nhanes_real,0,735
True,True,True,0.001824209000915289,nhanes_real,0,739
True,True,True,0.001765207969583571,nhanes_real,0,742
True,True,True,0.0017976670060306787,nhanes_real,0,744
True,True,True,0.0018017500406131148,nhanes_real,0,746
True,True,True,0.0018189579714089632,nhanes_real,0,747
True,True,True,0.0018070000223815441,nhanes_real,0,750
True,True,True,0.0018300419906154275,nhanes_real,0,751
True,True,True,0.001758374972268939,nhanes_real,0,752
True,True,True,0.0018083329778164625,nhanes_real,0,753
True,True,True,0.0018097090069204569,nhanes_real,0,755
True,True,True,0.0018317089416086674,nhanes_real,0,759
True,True,True,0.0017583329463377595,nhanes_real,0,760
True,True,True,0.0017574999947100878,nhanes_real,0,764
True,True,True,0.0017788329860195518,nhanes_real,0,765
True,True,True,0.0017643339233472943,nhanes_real,0,767
True,True,True,0.0018065000185742974,nhanes_real,0,769
True,True,True,0.001758415950462222,nhanes_real,0,773
True,True,True,0.0017658330034464598,nhanes_real,0,774
True,True,True,0.0018092079553753138,nhanes_real,0,775
True,True,True,0.0017587909242138267,nhanes_real,0,777
True,True,True,0.001799750025384128,nhanes_real,0,782
True,True,True,0.0017852919409051538,nhanes_real,0,783
True,True,True,0.0018004160374403,nhanes_real,0,786
True,True,True,0.0018216250464320183,nhanes_real,0,788
True,True,True,0.0017657920252531767,nhanes_real,0,790
True,True,True,0.001794625073671341,nhanes_real,0,792
True,True,True,0.0017912910552695394,nhanes_real,0,794
True,True,True,0.001793834031559527,nhanes_real,0,796
True,True,True,0.0017903329571709037,nhanes_real,0,797
True,True,True,0.0017817089101299644,nhanes_real,0,801
True,True,True,0.001757291960529983,nhanes_real,0,803
True,True,True,0.0017464999109506607,nhanes_real,0,805
True,True,True,0.0018193749710917473,nhanes_real,0,808
True,True,True,0.0017945829313248396,nhanes_real,0,809
True,True,True,0.0017769169062376022,nhanes_real,0,811
True,True,True,0.0017780829221010208,nhanes_real,0,813
True,True,True,0.0018075000261887908,nhanes_real,0,814
True,True,True,0.0017727090744301677,nhanes_real,0,815
True,True,True,0.0017419169889762998,nhanes_real,0,816
True,True,True,0.0017784159863367677,nhanes_real,0,817
True,True,True,0.0017482918919995427,nhanes_real,0,820
True,True,True,0.002451583044603467,nhanes_real,0,821
True,True,True,0.0018497080309316516,nhanes_real,0,822
True,True,True,0.001834792084991932,nhanes_real,0,823
True,True,True,0.001758666941896081,nhanes_real,0,824
True,True,True,0.001785542001016438,nhanes_real,0,828
True,True,True,0.0018085410119965672,nhanes_real,0,830
True,True,True,0.001824457896873355,nhanes_real,0,831
True,True,True,0.001819124910980463,nhanes_real,0,838
True,True,True,0.0018117500003427267,nhanes_real,0,839
True,True,True,0.0018130840035155416,nhanes_real,0,841
True,True,True,0.0018697499763220549,nhanes_real,0,845
True,True,True,0.0018203749787062407,nhanes_real,0,846
True,True,True,0.0017522919224575162,nhanes_real,0,847
True,True,True,0.0017215419793501496,nhanes_real,0,848
True,True,True,0.0017544170841574669,nhanes_real,0,849
True,True,True,0.0017348750261589885,nhanes_real,0,852
True,True,True,0.0017255829880014062,nhanes_real,0,854
True,True,True,0.0016909580444917083,nhanes_real,0,855
True,True,True,0.0017715829890221357,nhanes_real,0,856
True,True,True,0.0017109580803662539,nhanes_real,0,858
True,True,True,0.0017872089520096779,nhanes_real,0,859
True,True,True,0.0017095000948756933,nhanes_real,0,861
True,True,True,0.0017177080735564232,nhanes_real,0,862
True,True,True,0.0017072079936042428,nhanes_real,0,863
True,True,True,0.001740792067721486,nhanes_real,0,864
True,True,True,0.0017024169210344553,nhanes_real,0,866
True,True,True,0.0018062919843941927,nhanes_real,0,875
True,True,True,0.00167404196690768,nhanes_real,0,876
True,True,True,0.0017559160478413105,nhanes_real,0,878
True,True,True,0.0016804580809548497,nhanes_real,0,879
True,True,True,0.0017146249301731586,nhanes_real,0,881
True,True,True,0.0016941659850999713,nhanes_real,0,882
True,True,True,0.00173558306414634,nhanes_real,0,883
True,True,True,0.0017400420038029552,nhanes_real,0,884
True,True,True,0.0017424160614609718,nhanes_real,0,888
True,True,True,0.001745416084304452,nhanes_real,0,891
True,True,True,0.001696875086054206,nhanes_real,0,892
True,True,True,0.001731499913148582,nhanes_real,0,895
True,True,True,0.00173858308698982,nhanes_real,0,896
True,True,True,0.0017177079571411014,nhanes_real,0,897
True,True,True,0.0018222499638795853,nhanes_real,0,898
True,True,True,0.0017690410604700446,nhanes_real,0,901
True,True,True,0.0017673750407993793,nhanes_real,0,902
True,True,True,0.0017348339315503836,nhanes_real,0,904
True,True,True,0.003087916993536055,nhanes_real,1,0
