success,budget,n_features_changed,latency_sec,effort,admissible,dataset,seed,patient_idx
True,2.0,2.0,0.001327750040218234,6.0,True,nhanes_real,0,412
True,2.0,2.0,0.001237915945239365,3.75,True,nhanes_real,0,416
False,,,0.014604083029553294,,,nhanes_real,0,417
False,,,0.014609167003072798,,,nhanes_real,0,418
False,,,0.014545792015269399,,,nhanes_real,0,419
True,2.0,2.0,0.0012761249672621489,6.75,True,nhanes_real,0,420
False,,,0.014586249948479235,,,nhanes_real,0,421
True,2.0,2.0,0.0012944170739501715,5.625,True,nhanes_real,0,422
True,1.0,1.0,0.0008352919248864055,1.5,True,nhanes_real,0,424
True,2.0,2.0,0.0012104579946026206,4.25,True,nhanes_real,0,426
False,,,0.014529415988363326,,,nhanes_real,0,427
False,,,0.014530250104144216,,,nhanes_real,0,428
True,2.0,2.0,0.0013100419891998172,6.75,True,nhanes_real,0,429
True,2.0,2.0,0.0012011660728603601,3.75,True,nhanes_real,0,430
True,1.0,1.0,0.0008057090453803539,0.75,True,nhanes_real,0,431
True,1.0,1.0,0.000796708045527339,2.25,True,nhanes_real,0,433
True,2.0,2.0,0.001187667017802596,6.0,True,nhanes_real,0,434
False,,,0.014615958090871572,,,nhanes_real,0,436
False,,,0.014573125052265823,,,nhanes_real,0,437
True,1.0,1.0,0.0008889590390026569,1.5,True,nhanes_real,0,444
False,,,0.0145595419453457,,,nhanes_real,0,446
False,,,0.014721792074851692,,,nhanes_real,0,448
True,2.0,2.0,0.0012578340247273445,6.0,True,nhanes_real,0,449
True,1.0,1.0,0.0008026660652831197,2.25,True,nhanes_real,0,452
False,,,0.014603000017814338,,,nhanes_real,0,454
True,3.0,3.0,0.0033085000468418,8.625,True,nhanes_real,0,458
False,,,0.01459041703492403,,,nhanes_real,0,459
False,,,0.014500833000056446,,,nhanes_real,0,460
False,,,0.014589707949198782,,,nhanes_real,0,461
True,1.0,1.0,0.000849833944812417,1.5,True,nhanes_real,0,463
False,,,0.014513917034491897,,,nhanes_real,0,464
True,2.0,2.0,0.0012667919509112835,6.75,True,nhanes_real,0,466
True,1.0,1.0,0.0008635829435661435,1.5,True,nhanes_real,0,468
False,,,0.014521541073918343,,,nhanes_real,0,469
False,,,0.014534041984006763,,,nhanes_real,0,475
True,1.0,1.0,0.000867334078066051,2.25,True,nhanes_real,0,476
False,,,0.014592082938179374,,,nhanes_real,0,477
False,,,0.01460183400195092,,,nhanes_real,0,482
False,,,0.014568708022125065,,,nhanes_real,0,483
False,,,0.014580916031263769,,,nhanes_real,0,484
True,1.0,1.0,0.0008936249651014805,2.25,True,nhanes_real,0,489
False,,,0.014580375049263239,,,nhanes_real,0,490
True,1.0,1.0,0.0009232079610228539,1.5,True,nhanes_real,0,491
False,,,0.014954084064811468,,,nhanes_real,0,497
