cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
riemannian_hard,3,22,14,63.63636363636363,35.714285714285715,35.714285714285715,-7.264201997937252,0.4937676638364792,0.001043689463668532
riemannian_hard,4,23,16,69.56521739130434,100.0,100.0,-7.6994426978095305,1.884732423350215,0.001014913131138661
riemannian_none,0,25,25,100.0,96.0,96.0,-7.5514876199676,2.170904566645622,0.001059808365534948
riemannian_none,1,20,20,100.0,95.0,95.0,-7.587522612380811,0.2643376599997282,0.00105437079328108
riemannian_none,2,23,23,100.0,60.86956521739131,65.21739130434783,-7.249013670638873,0.9263066855137763,0.001128173952051587
riemannian_none,3,22,22,100.0,18.181818181818183,22.727272727272727,-7.288593424328547,0.21569377759640868,0.001079361772016473
riemannian_none,4,23,23,100.0,86.95652173913044,86.95652173913044,-7.859683478339127,1.049967534840107,0.0011119165599507565
riemannian_soft_lam0.1,0,25,25,100.0,96.0,96.0,-7.487110276241161,2.3142919832468034,0.00100840000668536
riemannian_soft_lam0.1,1,20,20,100.0,95.0,95.0,-7.542006066422596,0.6342426054179668,0.0010497437033336152
riemannian_soft_lam0.1,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.215503578092065,1.3411643667065578,0.001052338774214735
riemannian_soft_lam0.1,3,22,22,100.0,45.45454545454545,45.45454545454545,-7.264329231389243,0.47647184201262216,0.001076041784306759
riemannian_soft_lam0.1,4,23,23,100.0,100.0,100.0,-7.770142649473791,1.582643247168997,0.0010719946560287434
riemannian_soft_lam1.0,0,25,25,100.0,100.0,100.0,-7.2194797228416085,3.842319993972778,0.001017518360167692
riemannian_soft_lam1.0,1,20,20,100.0,100.0,100.0,-7.521688834986757,0.7811513639986515,0.0010242333955829501
riemannian_soft_lam1.0,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.19822568244377,1.4449920919926271,0.0010364329943473476
riemannian_soft_lam1.0,3,22,22,100.0,54.54545454545454,54.54545454545454,-7.256590175139187,0.5635053440928459,0.0010700301341288682
riemannian_soft_lam1.0,4,23,23,100.0,100.0,100.0,-7.676658447618835,2.1315564979677615,0.0010483134360780998
riemannian_soft_lam10.0,0,25,25,100.0,100.0,100.0,-7.2194797228416085,3.842319993972778,0.00102110004052514
riemannian_soft_lam10.0,1,20,20,100.0,100.0,100.0,-7.521688834986757,0.7811513639986515,0.0009968624013708502
riemannian_soft_lam10.0,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.19822568244377,1.4449920919926271,0.0010680834378074785
riemannian_soft_lam10.0,3,22,22,100.0,54.54545454545454,54.54545454545454,-7.256590175139187,0.5635053440928459,0.001046895774462291
riemannian_soft_lam10.0,4,23,23,100.0,100.0,100.0,-7.676658447618835,2.1315564979677615,0.0010714346122846431
riemannian_soft_lam100.0,0,25,25,100.0,100.0,100.0,-7.2194797228416085,3.842319993972778,0.0010071215964853359
riemannian_soft_lam100.0,1,20,20,100.0,100.0,100.0,-7.521688834986757,0.7811513639986515,0.00101712099276478
riemannian_soft_lam100.0,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.19822568244377,1.4449920919926271,0.0011202753065963347
riemannian_soft_lam100.0,3,22,22,100.0,54.54545454545454,54.54545454545454,-7.256590175139187,0.5635053440928459,0.0010900169542185725
riemannian_soft_lam100.0,4,23,23,100.0,100.0,100.0,-7.676658447618835,2.1315564979677615,0.0010471141811095304
